,company,url
0,J G Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jgfinance/JGF01
1,J G Foundry Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/jgfoundry/JGF
2,J J Finance Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/jjfinancecorporation/JJF
3,J K Leatherite Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/jkleatherite/JKL
4,J Kumar Infraprojects Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jkumarinfraprojects/KI01
5,J M D Alloys Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/jmdalloys/JMD
6,J R Foods Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/jrfoods/JRF
7,J S P Oils & Fats Ltd.,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/jspoilsfats/JSP01
8,J.K. Cement Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmajor/jkcement/JKC03
9,J.Taparia Projects Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jtapariaprojects/JTP
10,Jackard Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/jackardproducts/JP
11,Jackson Investments Ltd.,https://www.moneycontrol.com/india/stockpricequote/financegeneral/jacksoninvestments/JI12
12,Jacquart Chemical Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jacquartchemicalindustries/JCI
13,Jafferson Leasing & Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jaffersonleasingfinance/JLF01
14,J A Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeothers/jafinance/F04
15,Jagan Litech Lamps Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jaganlitechlamps/JLL
16,Jagatjit Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/jagatjitindustries/JI01
17,Jagdamba Foods Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/jagdambafoods/JF
18,Jagdambay Agri Genetics Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jagdambayagrigenetics/JAG
19,Jagjanani Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/jagjananitextiles/JT02
20,Jagran Prakashan Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jagranprakashan/JP12
21,Jagson Airlines Ltd.,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/jagsonairlines/JA
22,Jagsonpal Finance and Leasing Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/jagsonpalfinanceleasing/JFL01
23,Jagsonpal Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jagsonpalpharmaceuticals/JP02
24,Jai Balaji Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/jaibalajiindustries/JBI
25,Jai Bharat Synthetics Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/jaibharatsynthetics/JBS02
26,Jai Corp Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/jaicorp/JC08
27,Jai Hind Synthetics Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/jaihindsynthetics/JHS
28,Jai Mata Rolled Glass Ltd.,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/jaimatarolledglass/JMR
29,Jai Mata Indsutries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/jaimataindsutries/JMI
30,Jai Parabolic Springs Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jaiparabolicsprings/JPS
31,Jai Yatayat Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jaiyatayat/JY01
32,Jaidka Foods Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/jaidkafoods/JF01
33,Jaihind Projects Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jaihindprojects/JP03
34,Jain Granites & Projects India Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jaingranitesprojectsindia/JGP
35,Jain Irrigation Systems Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/jainirrigationsystems/JIS02
36,Jain Marmo Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jainmarmoindustries/JMI02
37,Jain Plastics Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/jainplastics/JP04
38,Jain Spinners Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/jainspinners/JS
39,Jain Studio Ltd.,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jainstudio/JS04
40,Jainam Ferro Alloys Ltd.,https://www.moneycontrol.com/india/stockpricequote/ferromanganese/jainamferroalloys/JFA03
41,Jainco Projects (India) Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/jaincoprojectsindia/JPI
42,Jainpur Straw Board And Papers Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/jainpurstrawboardandpapers/JSB
43,Jaipan Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/jaipanindustries/JI07
44,Jaiprakash Associates Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaiprakashassociates/JA02
45,Jaiprakash Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/cementmini/jaiprakashindustries/JI
46,Jaiprakash Power Ventures Ltd.,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/jaiprakashpowerventures/JHP01
47,Jaipur Polyspin Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/jaipurpolyspin/JP05
48,Jaipur Syntex Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/jaipursyntex/JS01
49,Jakharia Fabric Ltd.,https://www.moneycontrol.com/india/stockpricequote/jakhariafabric/jakhariafabric/JF06
50,Jalan Forgings Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/jalanforgings/JF02
51,Jalan Ispat Castings Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/jalanispatcastings/JIC
52,Jalan Transolutions Ltd.,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/jalantransolutions/JT03
53,Jalaveg Investment & Trading Company Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jalaveginvestmenttradingcompany/JIT
54,,
55,James Hotels Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/jameshotels/JH
56,James Warren Tea Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/jameswarrentea/JWT
57,Jamna Auto Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI
58,Jamshri Realty Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/jamshrirealty/JSR
59,Janak Intermediates Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/janakintermediates/JI03
60,Janak Turbo Dynamics Ltd.,https://www.moneycontrol.com/india/stockpricequote/engineering/janakturbodynamics/JTD
61,Jenson and Nicholson Finance Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jensonnicholsonfinance/JNF
62,Janice Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/janicetextiles/JT01
63,Janpriya Cement Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/janpriyacement/JCL01
64,Janzen Castmetals Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/janzencastmetals/JC02
65,Jarigold Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/jarigoldtextiles/JTL
66,Jasch Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/jaschindustries/JI04
67,Jash Dealmark Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jashdealmark/JD02
68,Jash Engineering Ltd.,https://www.moneycontrol.com/india/stockpricequote/diversified/jashengineering/JE04
69,Jasmina Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/jasminaindustries/JIL02
70,Jaswal Granites Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jaswalgranites/JGL01
71,Jatalia Global Ventures Ltd.,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/jataliaglobalventures/SRO01
72,Jatayu Textiles & Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/jatayutextilesindustries/JTI01
73,Jattashankar Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/jattashankarindustries/JPY
74,Jauss Polymers Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/jausspolymers/JP06
75,Jay Agro Chem Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/jayagrochem/JAC
76,Jay Bharat Maruti Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jaybharatmaruti/JBM
77,Jay Electric Ltd.,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/jayelectric/JE
78,Jay Energy and S Energies Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jayenergysenergies/JES
79,Jay Finlease And Management Services Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jayfinleaseandmanagementservices/JFA01
80,Jay Flash Ceramics Ltd.,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/jayflashceramics/JFC
81,Jay Iron and Steels Ltd.,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/jayironsteels/JIS01
82,Jay Jalaram Technologies Ltd.,https://www.moneycontrol.com/india/stockpricequote/retailing/jayjalaramtechnologies/JJT
83,Jay Mahesh Infraventures Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jaymaheshinfraventures/JMI01
84,Jay Rapid Roller Ltd.,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jayrapidroller/JRR01
85,Jay Ushin Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jayushin/JU
86,Jay Vinyls Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/jayvinyls/JVL
87,Jayabharat Credit Ltd.,https://www.moneycontrol.com/india/stockpricequote/jayabharatcred/jayabharatcredit/JC06
88,Jayant Agro-Organics Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/jayantagroorganics/JAO
89,Jayant Infratech Ltd.,https://www.moneycontrol.com/india/stockpricequote/constructioninfrastructure/jayantinfratech/JI15
90,Jayant Mercantile Co. Ltd.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jayantmercantileco/JMC01
91,Jayant Paper Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/jayantpaper/JP10
92,Jayant Paper Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/paper/jayantpapermills/JPM
93,Jayant Vitamins Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jayantvitamins/JV
94,Jayanti Business Machines Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/jayantibusinessmachines/JBM02
95,Jayaswal Neco Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/jayaswalnecoindustries/JNI02
96,Jayatma Enterprises  Ltd.,https://www.moneycontrol.com/india/stockpricequote/jayatmaenterpr/jayatmaenterprises/JS9
97,Jayatma Industries  Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/jayatmaindustries/SS04
98,Jayavant Products Ltd.,https://www.moneycontrol.com/india/stockpricequote/plastics/jayavantproducts/JP07
99,Jaybharat Fabrics Mills Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/jaybharatfabricsmills/JFM
100,Jaybharat Textiles And Real Estate Ltd.,https://www.moneycontrol.com/india/stockpricequote/jaybharattext/jaybharattextilesandrealestate/JTA
101,Jaykay Enterprises Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/jaykayenterprises/JKS
102,Jayketan Textiles Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/jayketantextiles/JT
103,Jaypee Hotels Ltd.,https://www.moneycontrol.com/india/stockpricequote/hotels/jaypeehotels/JH01
104,Jaypee Infratech Ltd.,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaypeeinfratech/JI09
105,Jayshree Chemicals Ltd.,https://www.moneycontrol.com/india/stockpricequote/chemicals/jayshreechemicals/JC03
106,Jayshree Tea and Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/jayshreeteaindustries/JTI
107,Jaysynth Dyestuff Ltd.,https://www.moneycontrol.com/india/stockpricequote/dyespigments/jaysynthdyestuff/JD01
108,JB Chemicals and Pharmaceuticals Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01
109,JBF Industries Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/jbfindustries/JBF
110,JBM Auto Ltd.,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jbmauto/JBM03
111,Janus Corporation Ltd.,https://www.moneycontrol.com/india/stockpricequote/jcl/januscorporationlimited/JANUS54292
112,JCT Ltd.,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/jct/JCT
113,JCT Electronics Ltd.,https://www.moneycontrol.com/india/stockpricequote/electricals/jctelectronics/JCT01
114,JD Orgochem Ltd.,https://www.moneycontrol.com/india/stockpricequote/dyespigments/jdorgochem/JDO
115,Jeena Sikho Lifecare Ltd.,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/jeenasikholifecare/JSL02
116,Jeet Machine Tolls Ltd.,https://www.moneycontrol.com/india/stockpricequote/machinetools/jeetmachinetolls/JMT01
117,Jeevan Scientific Technology Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/jeevanscientifictechnology/JST
118,Jeevan Softech Ltd.,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/jeevansoftech/JS06
